wall_time	sim_time	avg_radius	avg_radius_ok	greater_96_ratio	tokkou_active	tokkou_cap	tokkou_ok	panic_ratio	cling_ratio	kaiten_ratio	run_ratio
wall_time	sim_time	avg_radius	avg_radius_ok	greater_96_ratio	tokkou_active	tokkou_cap	tokkou_ok	panic_ratio	cling_ratio	kaiten_ratio	run_ratio	hazard_avg	aoe_ratio
2025-11-29 18:54:57	0.983	13.850	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
wall_time	sim_time	avg_radius	avg_radius_ok	greater_96_ratio	tokkou_active	tokkou_cap	tokkou_ok	panic_ratio	cling_ratio	kaiten_ratio	run_ratio	hazard_avg	aoe_ratio
2025-11-29 18:54:59	0.983	13.850	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 18:55:00	1.983	24.754	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 18:55:01	2.983	33.574	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
wall_time	sim_time	avg_radius	avg_radius_ok	greater_96_ratio	tokkou_active	tokkou_cap	tokkou_ok	panic_ratio	cling_ratio	kaiten_ratio	run_ratio	hazard_avg	aoe_ratio
2025-11-29 18:55:53	0.983	13.850	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 18:55:54	1.983	24.754	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
wall_time	sim_time	avg_radius	avg_radius_ok	greater_96_ratio	tokkou_active	tokkou_cap	tokkou_ok	panic_ratio	cling_ratio	kaiten_ratio	run_ratio	hazard_avg	aoe_ratio
2025-11-29 18:55:56	0.983	13.850	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
wall_time	sim_time	avg_radius	avg_radius_ok	greater_96_ratio	tokkou_active	tokkou_cap	tokkou_ok	panic_ratio	cling_ratio	kaiten_ratio	run_ratio	hazard_avg	aoe_ratio
2025-11-29 18:55:58	0.983	13.850	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 18:55:59	1.983	24.754	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 18:56:00	2.983	33.574	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 18:56:01	3.983	34.347	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 18:56:02	4.983	34.293	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 18:56:03	5.983	34.208	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 18:56:03	6.983	34.230	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 18:56:03	7.983	34.247	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 18:56:04	8.983	34.243	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 18:56:04	9.983	34.238	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 18:56:04	10.983	34.233	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 18:56:05	11.983	34.228	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 18:56:05	12.983	34.224	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
